name,position,b,t,class,school,division,state,hometown,stats_link
Cole Cote,,,,Sophomore,Bluefield State College,NCAA: Division 2,WV,"Welland, Ontario",
Matt Coutney,3B/1B,L,R,Senior,Old Dominion University,NCAA: Division 1,VA,"Edmonton, Alberta",
Rhys Cratty,IF,R,R,Senior,Southwest Baptist University,NCAA: Division 2,MO,"Langley, British Columbia",
Riley Craw,RHP/INF,L,R,Freshman,Lake Region State,JUCO: Division 2,ND,"Winnipeg, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div2/players/rileycraw3f88?view=profile
Cooper Crompton,RHP,R,R,Freshman,Iowa Western,JUCO: Division 1,IA,"Langley, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/coopercromptonxzol?view=profile
Nash Crowell,IF,R,R,Freshman,Bismarck State,JUCO: Division 2,ND,"Yarmouth, Nova Scotia",https://www.njcaa.org/sports/bsb/2021-22/div2/players/nashcrowell0cgq?view=profile
Connor Crowson,IF,R,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/connorcrowsonkywt?view=profile
Jayden Cull,C-2B-OF,,,Freshman,Lyon College,NAIA,AR,"Victoria, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jaydencull3uqw?view=profile
Alex Cull,IF,R,R,Senior,Albion College,NCAA: Division 3,MI,"Windsor, Ontario",
Tyrus Culleton,1B/C,R,R,Freshman,Central Lakes,JUCO: Division 3,MN,"Vassar, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div3/players/tyrusculletonxqsq?view=profile
Holden Cumiskey,C,L,R,Freshman,Cuesta College,California CC,CA,"Langley, British Columbia",
Dallas Cummins,OF,,,Freshman,Missouri Valley College,NAIA,MO,"Calgary, Alberta",
Caelan Cunningham,OF,R,R,Sophomore,Lourdes University,NAIA,OH,"Port Dover, Ontario",
Hunter Cunningham,RHP,R,R,Senior,"Louisiana State University, Shreveport",NAIA,LA,"Mission, British Columbia",
Braydon Cust,OF,R,R,Sophomore,Colby,JUCO: Division 1,KS,"Edmonton, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/braydoncustcqhj?view=profile
Aiden Cutrell,,,,Freshman,Douglas,NW Athletic Conference,BC,"Abbotsford, British Columbia",
Kyle D'Angela,LHP,L,L,Junior,Bethany College,NAIA,KS,"Thorold, Ontario",
Alan Dai,UT,R,R,Freshman,Amherst College,NCAA: Division 3,MA,"Coquitlam, British Columbia",
Brendon Daley,CINF,R,R,Freshman,Patrick Henry,JUCO: Division 2,VA,Milton,
Caelan Dalman,INF,L,R,Freshman,Allan Hancock College,California CC,CA,"Calgary, Alberta",
Quinten Davidoff,RHP,,,Sophomore,Corban University,NAIA,OR,"Victoria, British Columbia",
Dustin Davidson,LHP,L,L,Freshman,Allen County,JUCO: Division 1,KS,"Haida Gwaii, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/dustindavidson8tvj?view=profile
Maxx Davidson,RHP,,,Freshman,Dodge City,JUCO: Division 1,KS,,
Spencer Davis,RHP,R,R,Senior,Arizona Christian University,NAIA,AZ,"Regina, Saskatchewan",https://naiastats.prestosports.com/sports/bsb/2021-22/players/spencerdavisybxp?view=profile
Tanner Dawe,RHP,,,Freshman,Howard (TX),JUCO: Division 1,TX,"London, Ontario",
