name,position,b,t,class,school,division,state,hometown,stats_link
Nicholas Graham,RHP,R,R,Freshman,Faulkner University,NAIA,AL,"Abbotsford, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/nicholasgrahamcywn?view=profile
Nick Graham,RHP,,,Sophomore,Clarendon,JUCO: Division 1,TX,"Abbotsford, British Columbia",
Brett Graham,C/INF,,,Senior,Salem University,NCAA: Division 2,WV,"Burlington, Ontario",
Logan Grant,IF/C,L,R,Freshman,Bismarck State,JUCO: Division 2,ND,"Calgary, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/logangrante31h?view=profile
Max Grant,IF,L,R,Sophomore,Canisius College,NCAA: Division 1,NY,"Fredericton, New Brunswick",
Alexis Gravel,OF/LHP,L,L,Freshman,Weatherford,JUCO: Division 1,TX,"Repentigny, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/alexisgravelc0el?view=profile
Soren Graversen,IF/OF,L,R,Senior,William Penn University,NAIA,IA,"Calgary, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/sorengraversenyx62?view=profile
Kaden Gray,C,,,Freshman,Harper,JUCO: Division 3,IL,"Wyoming, Ontario",
Lincoln Greasley,IF,R,R,Freshman,Cornell College,NCAA: Division 3,IA,"Toronto, Ontario",
Connor Green,RHP,R,R,Junior,Minot State University,NCAA: Division 2,ND,"Portage La Prairie, Manitoba",
Thomas Green,INF,R,R,Junior,Oakland University,NCAA: Division 1,MI,"Courtenay, British Columbia",
Cody Greenfield,C,R,R,Sophomore,Lake Erie College,NCAA: Division 2,OH,"Toronto, Ontario",
Caden Griffin,LHP,L,L,Freshman,Bossier Parish,JUCO: Division 1,LA,"Ottawa, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/cadengriffinrw3v?view=profile
Jaden Griffin,LHP,L,L,Junior,Virginia Commonwealth University,NCAA: Division 1,VA,"Lower Sackville, Nova Scotia",
Thomas Grilli,IF,,,Sophomore,St. Bonaventure University,NCAA: Division 1,NY,"Toronto, Ontario",
Simon Grinberg,C,L,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"Kitchener, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/simongrinbergme6b?view=profile
Brodie Guenther,RHP/SS,,,Freshman,Shoreline,NW Athletic Conference,WA,"Bowen Island, British Columbia",
Robert Gurney,C,R,R,Freshman,College of the Desert,California CC,CA,"Campbell River, British Columbia",
Seth Gurr,RHP,R,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"Coaldale, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/sethgurr4508?view=profile
Roman Guthrie,,,,Freshman,SW Oregon,NW Athletic Conference,OR,"Delta, British Columbia",
Jude Hall,OF,,,Freshman,Yavapai,JUCO: Division 1,AZ,"Chilliwack, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/judehall7xu9?view=profile
Braden Halladay,RHP,R,R,Freshman,Tallahassee,JUCO: Division 1,FL,"Odessa, Florida",https://www.njcaa.org/sports/bsb/2021-22/div1/players/bradenhalladayq2du?view=profile
Elijha Hammill,INF/OF,,,Freshman,University of Utah,NCAA: Division 1,UT,"Oakville, Ontario",
Ethan Hammond,OF,,,Sophomore,D'Youville College,NCAA: Division 2,NY,"Oakville, Ontario",
Kalem Haney,INF,L,R,Freshman,University of Mary,NCAA: Division 2,ND,"Lethbridge, Alberta",
Josh Hare,INF,R,R,Sophomore,Lourdes University,NAIA,OH,"Simcoe, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/joshharetohx?view=profile
Colton Harold,OF,,,Senior,Northwestern College,NAIA,IA,"Abbotsford, British Columbia",
Evan Harrison,RHP,R,R,Junior,Gannon University,NCAA: Division 2,PA,"Mississauga, Ontario",
Blake Harsulla,OF,R,R,Freshman,Colby,JUCO: Division 1,KS,"Ardrossan, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/blakeharsullam2sp?view=profile
Jameson Hart,UT,L,R,Senior,William Penn University,NAIA,IA,"Sarnia, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jamesonhart2by5?view=profile
Logan Harvey,C,R,L,Freshman,Marshalltown,JUCO: Division 1,IA,"Hammond Plains, Nova Scotia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/loganharvey014y?view=profile
Griffin Hassall,RHP,R,R,Junior,Kansas State University,NCAA: Division 1,KS,"Newmarket, Ontario",
Branden Hatley,LHP,,,Senior,Minot State University,NCAA: Division 2,ND,"Morden, Manitoba",
Elijah Haug,,,,Freshman,Douglas,NW Athletic Conference,BC,-,
Andrew Haynes,RHP,R,R,Sophomore,Shippensburg University,NCAA: Division 2,PA,"Toronto, Ontario",
Mitchell Haywood,C|1B,L,R,Freshman,CCBC Essex,JUCO: Division 2,MD,"Pickering, Ontario",
Andrew Hazell,RHP,R,R,Sophomore,Mars Hill University,NCAA: Division 2,NC,"Brantford, Ontario",
Reece Helland,RHP,R,R,Junior,Monterey Peninsula College,California CC,CA,"Moose Jaw, Saskatchewan",
Cody Hendriks,IF,R,R,Freshman,"California State University, Bakersfield",NCAA: Division 1,CA,"Coquitlam, British Columbia",
Jonathan Henry,RHP/OF,,,Junior,Albany State University,NCAA: Division 2,GA,"Whitby, Ontario",
Sean Heppner,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"Delta, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/seanheppnerd29d?view=profile
Eli Hernandez,RHP/1B,R,R,Freshman,Western Nebraska,JUCO: Division 1,NE,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/elihernandez977t?view=profile
Tyler Herron,C,,,Freshman,Parkland,JUCO: Division 2,IL,"Grande Prairie, Alberta",
Shaun Hickey,RHP,R,R,Senior,University of Mary,NCAA: Division 2,ND,"Sommerville, New Brunswick",
Connor Hicks,C,L,R,Sophomore,Indiana State University,NCAA: Division 1,IN,"Toronto, Ontario",
Matt Hilderbrandt,DH,L,R,Senior,Limestone University,NCAA: Division 2,SC,"Bowmanville, Ontario",
Adam Hill,RHP,R,R,Sophomore,Jefferson (MO),JUCO: Division 1,MO,"Toronto, Ontario",
Drew Hillhorst,UTL,L,R,Freshman,Minot State University,NCAA: Division 2,ND,"Killarney, Manitoba",
Nolan Hines,,,,Freshman,Clark,NW Athletic Conference,WA,"Calgary, Alberta",
Tyler Hinrikus,3B/OF,R,R,Sophomore,Ball State University,NCAA: Division 1,IN,"Waterloo, Ontario",
William Hlady,RHP,R,R,Senior,Valley City State University,NAIA,ND,"Dauphin, Manitoba",https://naiastats.prestosports.com/sports/bsb/2021-22/players/williamhladyg2o7?view=profile
Alex Hobgood,C,R,R,Freshman,University of Hawaii at Hilo,NCAA: Division 2,HI,"Ottawa, Ontario",
Connor Hodge,LHP,L,L,Sophomore,Newberry College,NCAA: Division 2,SC,"Montreal, Quebec",
Tanner Hodgson,OF,L,R,Sophomore,Mars Hill University,NCAA: Division 2,NC,"Burlington, Ontario",
Evan Hoegler,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"North Vancouver, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/evanhoeglerqi59?view=profile
Jaden Hofmann,RHP,R,R,Senior,Minot State University,NCAA: Division 2,ND,"Unity, Saskatchewan",
Jackson Hogg,OF,R,R,Junior,Marian University,NAIA,IN,"Surrey, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jacksonhoggf908?view=profile
Nick Holdershaw,OF,,,Sophomore,University of Dubuque,NCAA: Division 3,IA,"Langley, British Columbia",
Nathan Holmes,RHP,R,R,Junior,University of Texas at Tyler,NCAA: Division 2,TX,"Mississauga, Ontario",
Tim Holyk,IF,R,R,Sophomore,Miles,JUCO: Division 2,MT,"Nanaimo, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div2/players/timholykvnub?view=profile
Alex Horobetz,INF,R,R,Freshman,Lake Region State,JUCO: Division 2,ND,"Hamilton, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/alexhorobetz9egg?view=profile
Steven Hospital,RHP,R,R,Junior,Niagara University,NCAA: Division 1,NY,"Oakville, Ontario",
Jack Hourahine,IF,R,R,Freshman,Western Nebraska,JUCO: Division 1,NE,"Cambridge, Ontario",
Peter Houston,,,,Freshman,Cleary University,NAIA,MI,"Port Hope, Ontario",
Hunter Houston,OF,R,R,Freshman,Southwestern,JUCO: Division 1,IA,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/hunterhoustonimpu?view=profile
Drew Howard,RHP,R,R,Sophomore,Chipola,JUCO: Division 1,FL,"Whitby, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/drewhowardsj5l?view=profile
Dylan Howard,C,R,R,Sophomore,Western Nebraska,JUCO: Division 1,NE,"London, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/dylanhoward1059?view=profile
Dryden Howse,INF,L,R,Freshman,Barton,JUCO: Division 1,KS,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/drydenhowse9qn6?view=profile
Nick Hoyt,UTL,,,Junior,Spring Arbor University,NAIA,MI,"Marysville, New Brunswick",
Ben Hubert,RHP,R,R,Sophomore,Kellogg,JUCO: Division 2,MI,"Komoka, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/benhubertz0ij?view=profile
Aidan Huggins,UTIL,R,R,Senior,Illinois State University,NCAA: Division 1,IL,"Edmonton, Alberta",
Ben Hul,OF,L,R,Freshman,Williston State,JUCO: Division 2,ND,"Calgary, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/benhul0upq?view=profile
Noah Hull,OF/1B,L,R,Sophomore,University of Mary,NCAA: Division 2,ND,"Scarborough, Ontario",
Justin Humenay,RHP,R,R,Sophomore,Virginia Commonwealth University,NCAA: Division 1,VA,"Montreal, Quebec",
Ethan Hunt,,,,Senior,Oklahoma Panhandle State University,NAIA,OK,"Elginburg, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/ethanhuntxbjl?view=profile
Brandon Hupe,OF,R,R,Sophomore,University of British Columbia,NAIA,BC,"Vancouver, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/brandonhuperxgp?view=profile
Alexis Hurens,OF,R,R,Freshman,Seminole State (OK),JUCO: Division 1,OK,Quebec,https://www.njcaa.org/sports/bsb/2021-22/div1/players/alexishurenssyua?view=profile
Dawson Hurford,RHP,R,R,Sophomore,Western Nebraska,JUCO: Division 1,NE,"Victoria, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/dawsonhurfordmbih?view=profile
Antonio Hyrnkiw,C,R,R,Junior,McPherson College,NAIA,KS,"Brechin, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/antoniohyrnkiw81jb?view=profile
Brayden Ingogolia,MIF,,,Freshman,Salem University,NCAA: Division 2,WV,"Newmarket, Ontario",
Adam Inouye,MI,R,R,Junior,Academy of Art University,NCAA: Division 2,CA,"Vancouver, British Colombia",
Will Ireland,INF,R,R,Sophomore,Orange Coast College,California CC,CA,"North Vancouver, British Columbia",
Josh Ironside,RHP,R,R,Sophomore,Marshalltown,JUCO: Division 1,IA,"St. Albert, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/joshironsideu0c3?view=profile
Connor Irvine,RHP,R,R,Junior,Lassen College,California CC,CA,"Victoria, British Columbia",
Blake Jacklin,OF,L,R,Freshman,Davenport University,NCAA: Division 2,MI,"St. Jacobs, Ontario",
Jacob Jackson,INF,R,R,Freshman,Siena Heights University,NAIA,MI,"Ajax, Ontario",
Core Jackson,INF,L,R,Freshman,"University of Nebraska, Lincoln",NCAA: Division 1,NE,"Wyoming, Ontario",
Sam Jalbert,RHP,R,R,Junior,Saint Josephs College of Maine,NCAA: Division 3,ME,"Mascouche, Quebec",
Samuel Jalbert,RHP,R,R,Junior,Saint Josephs College of Maine,NCAA: Division 3,ME,"Mascouche, Quebec",
Hunter James,3B,L,R,Junior,University of Northwestern Ohio,NAIA,OH,"Stratford, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/hunterjamescnqr?view=profile
Spencer Jamieson,1B,L,R,Sophomore,Cleary University,NAIA,MI,"Burlington, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/spencerjamieson0js2?view=profile
Justin Jang,C,A,K,Freshman,Western Illinois University,NCAA: Division 1,IL,"Oakville, Ontario",
Tylor Jans,RHP,,,Junior,University of Louisiana at Monroe,NCAA: Division 1,LA,"Edmonton, Alberta",
Owen Jansen,2B/3B,L,R,Senior,Saint Leo University,NCAA: Division 2,FL,"Oakville, Ontario",
Andrew Jawdek,RHP,R,R,Sophomore,Cleary University,NAIA,MI,"Halton Hills, Ontario",
Antoine Jean,LHP,R,L,Junior,University of Alabama,NCAA: Division 1,AL,"Montreal, Quebec",
Matthew Jeffery,RHP,R,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"St. Catharines, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/matthewjeffery3i6n?view=profile
Matt Jenkins,OF,R,R,Senior,Harvard University,NCAA: Division 1,MA,"Toronto, Ontario",
Riley Jepson,OF,L,R,Senior,University of Texas at Tyler,NCAA: Division 2,TX,"Kamloops, British Columbia",
Andrius Jerenas,,,,Freshman,Cleary University,NAIA,MI,"Mississauga, Ontario",
Kole Jessamine,RHP,R,R,Freshman,Lake Region State,JUCO: Division 2,ND,"Abbotsford, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div2/players/kolejessamineioy1?view=profile
Brandon Job,INF,L,R,Senior,Hilbert College,NCAA: Division 3,NY,"Maple, Ontario",
Tyrese Johnson,OF,R,R,Freshman,Central Arizona,JUCO: Division 1,AZ,"Calgary, Alberta",
Cater Johnson,,,,Freshman,Douglas,NW Athletic Conference,BC,-,
Ryan Johnson,C,,,Freshman,Hesston,JUCO: Division 2,KS,"Abbotsford, British Columbia",
Lucas Johnson,C,,,Freshman,Wright State University,NCAA: Division 1,OH,"Hamilton, Ontario",
Dylan Johnson,C,R,R,Junior,Adrian College,NCAA: Division 3,MI,"Etobicoke, Ontario",
Kian Johnston,1B/OF,R,R,Junior,Eastern New Mexico University,NCAA: Division 2,NM,"Fruitvale, British Columbia",
Ryan Johnston,INF,R,R,Senior,Bowling Green State University,NCAA: Division 1,OH,"Oakville, Ontario",
Matthew Johnston,P,,,Senior,Mayville State University,NAIA,ND,"Cypress River, Manitoba",
Bradley Jolley,CIF,L,R,Freshman,Park University Gilbert,NAIA,AZ,"Edmonton, Alberta",
Hunter Jones,RHP,R,R,Freshman,Ventura College,California CC,CA,"Edmonton, Alberta",
Ben Jones,IF,,,Junior,University of Dayton,NCAA: Division 1,OH,"Toronto, Ontario",
Alex Jones,LHP,L,L,Senior,Niagara University,NCAA: Division 1,NY,"Bowmanville, Ontario",
Yojairo Juan,LHP/OF,,,Freshman,Jefferson (NY),JUCO: Division 3,NY,"Oro Medonte, Ontario",
Andrius Jurenas,OF/RHP,,,Freshman,Cleary University,NAIA,MI,"Mississauga, Ontario",
Finn Kaczmarowski,RHP,R,R,Sophomore,Georgetown College,NAIA,KY,"Vancouver, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/finnkaczmarowski84f4?view=profile
Joseph Karall,RHP,R,R,Sophomore,Southeast Missouri State University,NCAA: Division 1,MO,"St. Albert, Alberta",
AJ Karosas,IF,L,R,Sophomore,Erie,JUCO: Division 3,NY,"Mississauga, Ontario",
Jason Kauffeldt,OF,,,Sophomore,Houghton College,NCAA: Division 3,NY,"Oshawa, Ontario",
Logan Keating,OF,R,L,Freshman,Three Rivers,JUCO: Division 1,MO,"Kelowna, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/logankeating2eq1?view=profile
Kendall Keller,OF,L,R,Sophomore,University of Mary,NCAA: Division 2,ND,"Pilot Butte, Saskatchewan",
Tyson Kemp,INF,R,R,Freshman,Siena Heights University,NAIA,MI,"Calgary, Alberta",
Clayton Keyes,OF,R,R,Junior,Southeastern University,NAIA,FL,"Edmonton, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/claytonkeyes5mkb?view=profile
Adam Khan,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"Aurora, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/adamkhankjah?view=profile
Michael Khatkar,INF,R,R,Freshman,Otero,JUCO: Division 1,CO,"Vancouver, British Columbia",
Trent King,LHP,L,L,Sophomore,Allegany Maryland,JUCO: Division 2,MD,"Surrey Province, British Columbia",
Dylan Kints,RHP,R,R,Freshman,College of the Desert,California CC,CA,"Exeter, Ontario",
Avery Kirkup,C/1B/P,,,Freshman,Barstow College,California CC,CA,"Oyen, Alberta",
Brett Kleisinger,RHP,R,R,Freshman,West Valley College,California CC,CA,"Regina, Saskatchewan",
Colbey Klepper,RHP,,,Junior,Presbyterian College,NCAA: Division 1,SC,"Stony Plain, Alberta",
Logan Knight,RHP,R,R,Freshman,Ventura College,California CC,CA,"London, Ontario",
Brady Kobitowich,RHP,,,Sophomore,Cloud County,JUCO: Division 1,KS,"Edmonton, Alberta",
Alex Kok,,,,Freshman,Northampton,JUCO: Division 3,PA,"Newmarket, Ontario",
Nathan Kolb,RHP,R,R,Senior,University of Mary,NCAA: Division 2,ND,"Cloverdale, British Columbia",
Jesse Kool,MIF,,,Sophomore,West Virginia University Institute of Technology,NAIA,WV,"Barrie, Ontario",
Carter Kopp,RHP,R,R,Freshman,Saint Xavier University,NAIA,IL,"Saskatoon, Saskatchewan",
Tyson Kovats,OF,L,R,Freshman,Erie,JUCO: Division 3,NY,"Goderich, Ontario",
Kade Kozak,LHP,L,L,Junior,Davis and Elkins College,NCAA: Division 2,WV,"West Kelowna, British Columbia",
Colby Krupp,,,,Freshman,Cleary University,NAIA,MI,"Calgary, Alberta",
Gibson Krzeminski,IF/OF,S,R,Senior,Canisius College,NCAA: Division 1,NY,"Tecumseh, Ontario",
Kyle Kush,IF,L,R,Senior,Canisius College,NCAA: Division 1,NY,"Guelph, Ontario",
Jacob Kush,RHP,R,R,Senior,University of Missouri,NCAA: Division 1,MO,"Guelph, Ontario",
Keegan Kwong,OF/RHP,R,R,Senior,Goshen College,NAIA,IN,"Edmonton, Alberta",
Deric LaMontagne,INF,L,R,Junior,Lamar University,NCAA: Division 1,TX,"Beloeil, Quebec",
Jaycob Lachance,RHP,R,R,Freshman,Frontier,JUCO: Division 1,IL,"St. Anne De La Perade, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/jaycoblachancej6vj?view=profile
Roch Laferriere,OF,L,R,Sophomore,Dakota State University,NAIA,SD,"Calgary, Alberta",
Shane Laforest,RHP,R,R,Sophomore,University of British Columbia,NAIA,BC,"Belle River, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/shanelaforest91ox?view=profile
Zac Laird,LHP,L,L,Freshman,Niagara University,NCAA: Division 1,NY,"Langley, British Columbia",
Jaden Lamothe,3B,,,Freshman,Parkland,JUCO: Division 2,IL,"Langley, British Columbia",
Nathan Landry,LHP,,,Junior,University of Missouri,NCAA: Division 1,MO,Quebec,
Louis-Philippe Langevin,RHP,,,Freshman,Wabash Valley,JUCO: Division 1,IL,"Quebec City, Quebec",
Tauren Langley,INF,R,R,Junior,Emporia State University,NCAA: Division 2,KS,"Edmonton, Alberta",
Tyler Larguinho,OF,L,R,Freshman,Lincoln Trail,JUCO: Division 1,IL,"Maple, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/tylerlarguinhor9ib?view=profile
Olivier Larocque,RHP,,,Sophomore,Southwestern Oklahoma State University,NCAA: Division 2,OK,Quebec,
Josh Laukkanen,RHP,R,R,Junior,New Mexico State University,NCAA: Division 1,NM,"Nanaimo, British Columbia",
Zach Laurie,C/UTL,,,Freshman,Glenville State College,NCAA: Division 2,WV,"Peterborough, Ontario",
Joe Lavoie,LHP,L,L,Freshman,Cornell College,NCAA: Division 3,IA,"Edmonton, Alberta",
Tom Leathem,RHP,R,R,Freshman,Morningside College,NAIA,IA,"St. Albert, Alberta",
Lucas Lefebvre,SS,,,Freshman,Barstow College,California CC,CA,"Coquitlam, British Columbia",
Charles Lefebvre,RHP,R,R,Sophomore,Saint Leo University,NCAA: Division 2,FL,"Laval, Quebec",
Marshall Leishman,LHP,R,L,Freshman,Ashland University,NCAA: Division 2,OH,"Huntsville, Ontario",
Ryan Leitch,C,,,Sophomore,Marshall University,NCAA: Division 1,WV,"Whitby, Ontario",
Erik Lemberg,,R,R,Freshman,Westcliff University,NAIA,CA,"Kitchner, Ontario",
Skylar Lenihan,C,R,R,Freshman,College of Marin,California CC,CA,"Lord Byng Secondary School, British Columbia",
Trent Lenihan,IF,R,R,Freshman,University of British Columbia,NAIA,BC,"White Rock, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/trentlenihanc505?view=profile
Taylor Lepard,RHP,R,R,Senior,Southern New Hampshire University,NCAA: Division 2,NH,"Toronto, Ontario",
Brando Leroux,IF,R,R,Freshman,Chipola,JUCO: Division 1,FL,"Markham, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/brandolerouxfgyh?view=profile
Jarod Leroux,RHP,,,Sophomore,Southwestern Oklahoma State University,NCAA: Division 2,OK,"Vernon, British Columbia",
Luciano Letteri,OF,R,R,Freshman,University of British Columbia,NAIA,BC,"Coquitlam, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/lucianoletterinmj8?view=profile
Haiden Letzing,OF,,,Freshman,Ventura College,California CC,CA,"Vancouver, British Columbia",
Kyle Lev,RHP,R,R,Junior,Siena College,NCAA: Division 1,NY,"Mississauga, Ontario",
Jordan Lewis,OF,,,Sophomore,Herkimer,JUCO: Division 3,NY,"Toronto, Ontario",
Daniel Lichty,3B,S,R,Senior,Huntington University,NAIA,IN,"London, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/daniellichty64i4?view=profile
Jeff Liddell,RHP,R,R,Sophomore,Connors State,JUCO: Division 1,OK,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/jeffliddellwsqx?view=profile
Jack Liddell,P,,,Junior,Southern Arkansas University,NCAA: Division 2,AR,"Mississauga, Ontario",
Stephen Lin,C,,,Freshman,Shoreline,NW Athletic Conference,WA,"Surrey, British Columbia",
Thomas Little,LHP,,,Freshman,George Mason University,NCAA: Division 1,VA,"Lethbridge, Alberta",
Brendan Logan,RHP,R,R,Sophomore,University of British Columbia,NAIA,BC,"Oyen, Alberta",
Gavin Logan,C,L,R,Junior,Oregon State University,NCAA: Division 1,OR,"Oyen, Alberta",
Shaun Logan,RHP,,,Senior,University of Dubuque,NCAA: Division 3,IA,"Calgary, Alberta",
Max Lojko,RHP,R,R,Junior,Lourdes University,NAIA,OH,"Barrie, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/maxlojkog3qq?view=profile
Noah London,OF,R,R,Senior,University of Northwestern Ohio,NAIA,OH,"Toronto, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/noahlondon413z?view=profile
Clayton Loranger,OF,R,L,Junior,Stephen F. Austin State University,NCAA: Division 1,TX,"Sherwood Park, Alberta",
Tanner Low,LHP,,,Freshman,Salem University,NCAA: Division 2,WV,"Vineland, Ontario",
Eric Lucas,OF/RHP,R,R,Freshman,Albion College,NCAA: Division 3,MI,"Newmarket, Ontario",
Eric Luchies,LHP/1B,L,L,Sophomore,Lower Columbia,NW Athletic Conference,WA,"Victoria, British Columbia",
Marshal Luiz,C,,,Sophomore,Jackson State University,NCAA: Division 1,MS,"Surrey, British Columbia",
Jaryd Lund,LHP,,,Sophomore,Salem University,NCAA: Division 2,WV,"London, Ontario",
Simon Lusignan,RHP,,,Freshman,Stetson University,NCAA: Division 1,FL,"Boucherville, Quebec",
Jordan Lussier,RHP,R,R,Sophomore,Illinois State University,NCAA: Division 1,IL,"Winnipeg, Manitoba",
Campbell Lyons,RHP,R,R,Freshman,Dawson,JUCO: Division 2,MT,"Brooklin, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/campbelllyons5u4b?view=profile
Marika Lyszczyk,JR.,C,P,,Rivier University,NCAA: Division 3,NH,"Delta, British Columbia",
Braeden MacCormick,OF,,,Freshman,Ventura College,California CC,CA,"Oakville, Ontario",
Nolan MacDonald,,,,Freshman,Douglas,NW Athletic Conference,BC,"Parksville, British Columbia",
Braeden MacDonald,OF,R,R,Freshman,Kankakee,JUCO: Division 2,IL,"Corunna, Ontario",
Jordan MacDonald,1B,L,R,Junior,American International College,NCAA: Division 2,MA,"Fredericton, New Brunswick",
Mike MacDougall,RHP,L,R,Sophomore,University of Indianapolis,NCAA: Division 2,IN,"Toronto, Ontario",
Steven MacKenzie,OF,,,Freshman,Shoreline,NW Athletic Conference,WA,"Calgary, Alberta",
Alex MacKinnon,RHP,R,R,Senior,Niagara University,NCAA: Division 1,NY,"Aurora, Ontario",
Liam MacLean,,,,Freshman,Douglas,NW Athletic Conference,BC,"Vancouver, British Columbia",
Mason MacLeod,RHP,R,R,Sophomore,Itasca,JUCO: Division 3,MN,"Winnipeg, Manitoba",
Jakob MacLeod,RHP,R,R,Senior,Ave Maria University,NAIA,FL,"Toronto, Ontario",
Blake MacMillan,LHP,,,Junior,Niagara University,NCAA: Division 1,NY,"Mississauga, Ontario",
Owen MacNeil,P,,,Sophomore,University of Charleston,NCAA: Division 2,WV,"Georgetown, Ontario",
Logan MacNiel,RHP,R,R,Freshman,Allen County,JUCO: Division 1,KS,"Vancouver, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/loganmacnielk5ro?view=profile
Nolan Machibroda,1B,L,L,Junior,Lubbock Christian University,NCAA: Division 2,TX,"Saskatoon, Saskatchewan",
Brodie Mackay,INF,,,Freshman,Western Kentucky University,NCAA: Division 1,KY,"Oakville, Ontario",
Lucas Mackey,C/RHP,,,Freshman,Jefferson (NY),JUCO: Division 3,NY,"Washago, Ontario",
Ryan Magdic,1B,L,L,Senior,Florida Southern College,NCAA: Division 2,FL,"Beamsville, Ontario",
Evan Magill,C,L,R,Sophomore,Tennessee Wesleyan University,NAIA,TN,"Ajax, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/evanmagillcppz?view=profile
Jayden Mah,C/INF,L,R,Freshman,Missouri Valley College,NAIA,MO,"Nanaimo, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jaydenmahui95?view=profile
Jacob Mahoney,"IF,C",R,R,Sophomore,Lake Michigan,JUCO: Division 2,MI,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/jacobmahoneynx9n?view=profile
Brendan Mahood,RHP/OF,L,R,Freshman,Saint Xavier University,NAIA,IL,"Dorchester, Ontario",
Adam Maier,RHP,R,R,Sophomore,University of Oregon,NCAA: Division 1,OR,"North Vancouver, British Columbia",
Ayden Makarus,OF,R,R,Sophomore,Bossier Parish,JUCO: Division 1,LA,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/aydenmakaruszu6n?view=profile
Hayden Malenfant,RHP,R,R,Senior,Southeast Missouri State University,NCAA: Division 1,MO,"Whitby, Ontario",
Keith Manby*,RHP/1B,R,R,Sophomore,Marian University,NAIA,IN,"White Rock, British Columbia",
Aaron Manias,IF,,,Freshman,Howard (TX),JUCO: Division 1,TX,"Uxbridge, Ontario",
Anthony Marcano,INF,R,R,Sophomore,Campbellsville University,NAIA,KY,"Montreal, Quebec",
Josh Marchese,1B/DH,L,R,Senior,Niagara University,NCAA: Division 1,NY,"Burnaby, British Columbia",
